id,pattern,rule_text,school,source_url,confidence,tags,lang,created_at
19,Wu_Wei_combine,"У (Лошадь) и Вэй (Коза) соединяются, усиливая энергию Огня–Земли. Обе ветви летние. Для хозяев дня Огня и Земли этот период в цикле удачи часто бывает процветающим и активным.",classical,local:соединения.md,high,"[""Wu"",""Wei"",""combine"",""earthly_branch"",""fire"",""earth""]",en,2026-03-19 18:33:04.305404+00
20,Jia_Ji_combine,"Цзя (Ян Дерево) и Цзи (Инь Земля) соединяются и трансформируются в Землю при доминировании Земли. Это соединение ослабляет хозяев дня Цзя, связывая их самоэлемент. Когда трансформация не происходит, Цзя «занят» и теряет решительную, направленную вовне энергию.",classical,local:соединения.md,high,"[""Jia"",""Ji"",""combine"",""heavenly_stem"",""wood"",""earth""]",en,2026-03-19 18:33:04.305404+00
21,Yi_Geng_combine,"И (Инь Дерево) и Гэн (Ян Металл) соединяются и трансформируются в Металл. Металл контролирует Дерево. При трансформации для хозяина дня И самоэлемент поглощается. Связано с утончённостью, дисциплиной, а иногда — со здоровьем лёгких и печени.",classical,local:соединения.md,high,"[""Yi"",""Geng"",""combine"",""heavenly_stem"",""wood"",""metal""]",en,2026-03-19 18:33:04.305404+00
22,Bing_Xin_combine,"Бин (Ян Огонь) и Синь (Инь Металл) соединяются и трансформируются в Воду. Для хозяина дня Бин это соединение в цикле удачи или году производит Воду — звезду Власти/Чиновника — часто принося карьерный рост, но и пристальное внимание.",classical,local:соединения.md,high,"[""Bing"",""Xin"",""combine"",""heavenly_stem"",""fire"",""metal"",""water""]",en,2026-03-19 18:33:04.305404+00
23,Ding_Ren_combine,Дин (Инь Огонь) и Жэнь (Ян Вода) соединяются и трансформируются в Дерево. Классические тексты считают это «романтическим соединением». Для хозяина дня Воды встреча с Дин производит звезду Ресурса через трансформацию.,classical,local:соединения.md,high,"[""Ding"",""Ren"",""combine"",""heavenly_stem"",""fire"",""water"",""wood""]",en,2026-03-19 18:33:04.305404+00
24,Wu_Gui_combine,У (Ян Земля) и Гуй (Инь Вода) соединяются и трансформируются в Огонь. Гора встречает дождь — и результат тепло. Для хозяина дня Земля это соединение приносит энергию Компаньона через Огонь — создавая поддержку или конкуренцию в зависимости от баланса карты.,classical,local:соединения.md,high,"[""Wu"",""Gui"",""combine"",""heavenly_stem"",""earth"",""water"",""fire""]",en,2026-03-19 18:33:04.305404+00
25,Zi_Wu_clash,"Цзы (Крыса / Вода) и У (Лошадь / Огонь) — прямое столкновение: Вода атакует Огонь. Когда это столкновение активируется циклом удачи или годовым столпом, оно дестабилизирует дворец, которому принадлежит: дворец дня — отношения и тело; дворец года — предки и раннее детство; дворец месяца — карьера и родители. Может затронуть здоровье сердца и почек.",classical,local:столкновения.md,high,"[""Zi"",""Wu"",""clash"",""earthly_branch"",""water"",""fire""]",en,2026-03-19 18:33:04.451145+00
26,Chou_Wei_clash,"Чоу (Бык) и Вэй (Коза) — оба несут Землю, но сталкиваются. Столкновение Земли с Землёй нарушает «хранилища». При активации скрытые стебли внутри обоих ветвей становятся нестабильными. Финансовые резервы (Чоу хранит богатство) могут быть подорваны.",classical,local:столкновения.md,high,"[""Chou"",""Wei"",""clash"",""earthly_branch"",""earth""]",en,2026-03-19 18:33:04.451145+00
27,Yin_Shen_clash,"Инь (Тигр / Дерево) и Шэнь (Обезьяна / Металл) сталкиваются: Металл рубит Дерево. Внезапные перемены в поездках, движении и транспорте. Смены карьеры и неожиданные переезды характерны, когда это столкновение активируется в цикле удачи.",classical,local:столкновения.md,high,"[""Yin"",""Shen"",""clash"",""earthly_branch"",""wood"",""metal""]",en,2026-03-19 18:33:04.451145+00
28,Mao_You_clash,"Мао (Кролик / Инь Дерево) и Ю (Петух / Металл) сталкиваются. Прямое Металл-над-Деревом. Часто возникают судебные споры и проблемы с документами. В столпах дня это столкновение несёт постоянное напряжение в отношениях, которое обостряется в годы Ю и Мао.",classical,local:столкновения.md,high,"[""Mao"",""You"",""clash"",""earthly_branch"",""wood"",""metal""]",en,2026-03-19 18:33:04.451145+00
29,Chen_Xu_clash,"Чэнь (Дракон) и Сюй (Собака) — оба несут Землю и сталкиваются. Известно как «небесное столкновение»: оба являются хранилищами, и их столкновение резко вскрывает скрытые стебли. Классические тексты связывают это с нестабильностью психики и «открытием могилы».",classical,local:столкновения.md,high,"[""Chen"",""Xu"",""clash"",""earthly_branch"",""earth""]",en,2026-03-19 18:33:04.451145+00
30,Si_Hai_clash,"Сы (Змея / Огонь) и Хай (Свинья / Вода) сталкиваются: Вода гасит Огонь. Связано с нарушением звёзд интеллекта и продуктивности. Передвижения, поездки и контракты могут быть сорваны, когда это столкновение появляется в цикле удачи.",classical,local:столкновения.md,high,"[""Si"",""Hai"",""clash"",""earthly_branch"",""fire"",""water""]",en,2026-03-19 18:33:04.451145+00
31,luck_cycle_general_reading,"10-летний цикл удачи является доминирующим влиянием на натальную карту. Благоприятный цикл удачи может раскрыть скрытый потенциал в хорошей натальной карте и спасти сложную. Неблагоприятный цикл подавляет даже сильную карту. Всегда читайте натальную карту И текущий столп цикла удачи вместе — стебель и ветвь цикла могут соединяться или сталкиваться с натальными столпами, полностью меняя баланс карты.",classical,local:циклы-удачи.md,high,"[""luck_cycle"",""daymaster"",""strong"",""weak"",""output"",""wealth"",""power"",""resource""]",en,2026-03-19 18:33:04.60213+00
32,luck_cycle_stem_activates_natal,"Стебель цикла удачи взаимодействует прежде всего с натальными стеблями (уровень небесных стеблей). Соединяющийся стебель цикла может занять или трансформировать натальный стебель, временно убирая этот элемент из игры. Сталкивающийся стебель цикла атакует натальный, создавая волнения в звёздах этого элемента на весь 10-летний период.",classical,local:циклы-удачи.md,high,"[""luck_cycle"",""heavenly_stem"",""combine"",""clash"",""activation""]",en,2026-03-19 18:33:04.60213+00
33,luck_cycle_branch_activates_natal,"Ветвь цикла удачи взаимодействует с натальными ветвями (уровень земных ветвей). Соединения и столкновения ветвей открывают или закрывают хранилища (Чэнь, Сюй, Чоу, Вэй), высвобождая скрытые стебли. Этот второй слой взаимодействия часто производит конкретные жизненные события — стебель указывает тему, ветвь определяет что именно происходит.",classical,local:циклы-удачи.md,high,"[""luck_cycle"",""earthly_branch"",""combine"",""clash"",""activation""]",en,2026-03-19 18:33:04.60213+00
34,annual_pillar_trigger,"Годовой столп действует как триггер поверх цикла удачи. Событие, предсказанное циклом удачи, как правило проявляется, когда стебель или ветвь годового столпа соединяется или сталкивается с натальным элементом или элементом цикла удачи. Без годового триггера потенциал цикла удачи остаётся латентным.",classical,local:циклы-удачи.md,high,"[""year"",""annual"",""luck_cycle"",""activation"",""clash"",""combine""]",en,2026-03-19 18:33:04.60213+00
35,favorable_unfavorable_cycle_assessment,"Цикл удачи благоприятен, если он приносит то, что нужно Хозяину Дня: слабому нужны циклы Ресурса и Компаньона; сильному нужны циклы Продуктивности, Богатства и Власти. Оценка всегда относительна к текущему балансу карты — один и тот же элемент цикла может быть благоприятен для одного человека и неблагоприятен для другого в зависимости от их натальной карты.",classical,local:циклы-удачи.md,high,"[""luck_cycle"",""favorable"",""unfavorable"",""daymaster"",""balance""]",en,2026-03-19 18:33:04.60213+00
36,hour_pillar_role_in_luck,"Столп часа — четвёртый столп карты — представляет старость, детей и скрытые желания. Его стебель и ветвь также активируются циклами удачи и годовыми столпами. Неизвестный час означает неполную карту: отсутствует один из восьми знаков, что существенно ограничивает точность предсказаний, особенно в зрелом возрасте и в вопросах потомства.",classical,local:циклы-удачи.md,high,"[""hour"",""luck_cycle"",""activation"",""earthly_branch"",""heavenly_stem""]",en,2026-03-19 18:33:04.60213+00
37,Jin_Gui_hour,"The Jin Gui (Golden Vault) hour is considered one of the most auspicious stars associated with wealth, prosperity, and financial opportunities. It is ideal for actions aimed at attracting money, investments, business deals, and career advancement.",classical,https://fourpillars.ru/articles/147,high,"[""hour_star"",""wealth"",""auspicious"",""Tong_Shu""]",ru,2026-03-19 18:34:29.769976+00
38,Jin_Gui_hour_actions,"The Jin Gui hour is used for: concluding deals (buying, selling, signing contracts), salary negotiations, opening a business, making investments (real estate, stocks, cryptocurrency), and financial planning.",classical,https://fourpillars.ru/articles/147,high,"[""hour_star"",""wealth"",""action_timing""]",ru,2026-03-19 18:34:29.769976+00
39,Jin_Gui_hour_determination,"Jin Gui hours are determined by the combination of the Earthly Branch of the current day and the hour. The approximate scheme is: Day (Zi, Chou, Yin, Mao, Chen, Si, Wu, Wei, Shen, You, Xu, Hai) corresponds to Jin Gui Hour (Zi, Yin, Chen, Wu, Shen, Xu, Zi, Yin, Chen, Wu, Shen, Xu).",classical,https://fourpillars.ru/articles/147,medium,"[""hour_star"",""earthly_branch"",""day_hour_combination"",""Tong_Shu""]",ru,2026-03-19 18:34:29.769976+00
40,Jin_Gui_activation,To activate Jin Gui for wealth: wear metal elements (gold/silver jewelry) and act decisively—do not miss opportunities.,classical,https://fourpillars.ru/articles/147,high,"[""hour_star"",""wealth"",""activation"",""metal_element""]",ru,2026-03-19 18:34:29.769976+00
41,Tian_Guan_hour,"The Tian Guan (Heavenly Official) hour is an auspicious time for matters related to authority, career, and official institutions. It attracts support from influential people and luck in resolving bureaucratic matters.",classical,https://fourpillars.ru/articles/146,high,"[""hour_selection"",""auspicious_timing"",""career"",""authority""]",ru,2026-03-19 18:34:47.953692+00
42,Tian_Guan_day_hour_mapping,"The Tian Guan hour is determined by the Heavenly Stem of the day. The mapping is: Jia day -> You (Rooster) hour, Yi day -> Shen (Monkey) hour, Bing day -> Hai (Pig) hour, Ding day -> Zi (Rat) hour, Wu day -> Mao (Rabbit) hour, Ji day -> Yin (Tiger) hour, Geng day -> Si (Snake) hour, Xin day -> Wu (Horse) hour, Ren day -> Wei (Goat) hour, Gui day -> Chou (Ox) hour. (Note: The text also lists Xu (Dog) and Chen (Dragon) but does not specify their corresponding day stems in the provided mapping).",classical,https://fourpillars.ru/articles/146,medium,"[""day_stem"",""earthly_branch"",""hour_calculation"",""Tong_Shu""]",ru,2026-03-19 18:34:47.953692+00
43,Tian_Guan_activation_rituals,"To enhance the effect of the Tian Guan hour: show respect to officials/superiors (without fawning), dress formally, speak clearly and to the point without extra emotion, and mentally ask for support from the Heavenly Official before an important meeting.",folk,https://fourpillars.ru/articles/146,medium,"[""ritual"",""enhancement"",""behavior""]",ru,2026-03-19 18:34:47.953692+00
44,personal_BaZi_selection,"The selection of an auspicious day and hour for initiating key actions (such as beginning a property search, contacting an agency, or placing advertisements) must be based on an individual's personal BaZi chart (Four Pillars of Destiny). This chart is a unique astrological profile reflecting a person's destiny and energetic characteristics.",classical,https://fourpillars.ru/articles/144,high,"[""day_selection"",""hour_selection"",""individual_chart""]",ru,2026-03-19 18:35:05.557361+00
45,harmonious_date_selection,"Dates should be chosen that harmoniously combine with an individual's personal energy to attract luck, financial prosperity, and stability.",classical,https://fourpillars.ru/articles/144,high,"[""harmony"",""energy"",""luck"",""prosperity""]",ru,2026-03-19 18:35:05.557361+00
46,comprehensive_process_integration,"In Chinese metaphysics, an activity like 'property search' is considered a comprehensive process that unites active market actions with a deep understanding of the influence of time and individual energy. Proper date selection using BaZi is integral to this process.",classical,https://fourpillars.ru/articles/144,medium,"[""process"",""time_influence"",""energy_influence""]",ru,2026-03-19 18:35:05.557361+00
47,activation_Warming_Money_Star,A ritual to activate the 'Money Star' energy for attracting financial benefits by lighting a candle in a specific sector of a room at a calculated auspicious day and hour.,classical,https://fourpillars.ru/articles/143,high,"[""activation"",""money_star"",""feng_shui"",""ritual""]",ru,2026-03-19 18:35:25.925673+00
48,avoid_hour_clash,The chosen hour for activation must be without clashes (avoiding conflicting energies).,classical,https://fourpillars.ru/articles/143,high,"[""hour_selection"",""clash_avoidance"",""timing""]",ru,2026-03-19 18:35:25.925673+00
49,avoid_annual_monthly_star_5,Avoid sectors containing the annual or monthly Star 5 (associated with negative energy) when selecting the activation location.,classical,https://fourpillars.ru/articles/143,high,"[""sector_selection"",""star_5"",""avoidance""]",ru,2026-03-19 18:35:25.925673+00
50,auspicious_money_hours,Prefer hours that are auspicious for money-related matters when performing the activation.,classical,https://fourpillars.ru/articles/143,high,"[""hour_selection"",""auspicious"",""money""]",ru,2026-03-19 18:35:25.925673+00
51,solar_time_calculation,"For Feng Shui purposes, use solar time (not social/clock time) to determine the exact start and end of an hour, which varies by city/region.",classical,https://fourpillars.ru/articles/143,high,"[""timing"",""solar_time"",""regional_adjustment""]",ru,2026-03-19 18:35:25.925673+00
52,sector_mapping_24,"Divide the room (home, apartment, office) into 24 sectors to accurately locate the activation sector and other Feng Shui areas.",classical,https://fourpillars.ru/articles/143,high,"[""sector_mapping"",""feng_shui"",""layout""]",ru,2026-03-19 18:35:25.925673+00
53,personal_Treasury_star,The Personal Treasury Star (墓 Mu) is an Earthly Branch that serves as the Treasury for the Wealth element of a specific person. It indicates ability to accumulate and preserve wealth and material possessions.,classical,https://fourpillars.ru/articles/142,high,"[""Treasury"",""Mu"",""wealth"",""earthly_branch"",""personal_star""]",ru,2026-03-19 18:35:54.897941+00
54,Treasury_day_usage,"A day with the Personal Treasury Star is favorable for acquiring real estate, long-term property, and making long-term bank deposits, as money will be preserved and grow.",classical,https://fourpillars.ru/articles/142,high,"[""day_selection"",""auspicious_day"",""acquisition"",""wealth""]",ru,2026-03-19 18:35:54.897941+00
55,wealth_element_determination,"The Wealth element for a person is determined from their Day Master (Personality Element) using the conquest cycle: Wood conquers Earth (Wealth), Fire conquers Metal (Wealth), Earth conquers Water (Wealth), Metal conquers Wood (Wealth), Water conquers Fire (Wealth).",classical,https://fourpillars.ru/articles/142,high,"[""wealth_element"",""conquest_cycle"",""day_master"",""five_elements""]",ru,2026-03-19 18:35:54.897941+00
56,Treasury_branch_mapping,"The Earthly Branch that serves as the Treasury for a given Wealth element is: Chen (Dragon) for Water, Xu (Dog) for Fire, Chou (Ox) for Metal, Wei (Goat) for Wood. For Earth as Wealth (when Day Master is Wood), all four Earth branches (Chen, Xu, Chou, Wei) are Treasuries.",classical,https://fourpillars.ru/articles/142,high,"[""earthly_branch"",""Treasury_mapping"",""Chen"",""Xu"",""Chou"",""Wei""]",ru,2026-03-19 18:35:54.897941+00
57,Treasury_calculation_method,To calculate one's Personal Treasury Star: 1) Determine Day Master from BaZi chart. 2) Determine Wealth element using conquest cycle. 3) Find corresponding Earthly Branch Treasury from mapping.,classical,https://fourpillars.ru/articles/142,high,"[""calculation"",""personal_star"",""wealth_element"",""earthly_branch""]",ru,2026-03-19 18:35:54.897941+00
58,Treasury_occurrence,"The Personal Treasury Star can appear within one's natal BaZi chart or come externally during luck periods (year, month, day).",classical,https://fourpillars.ru/articles/142,medium,"[""natal_chart"",""luck_period"",""timing""]",ru,2026-03-19 18:35:54.897941+00
59,Treasury_conceptual_basis,"The Treasury represents the 'tomb' phase in the development cycle of Qi, where the Wealth element is stored and preserved in the earth, hence associated with accumulation.",classical,https://fourpillars.ru/articles/142,medium,"[""tomb_phase"",""Qi_development"",""storage"",""concept""]",ru,2026-03-19 18:35:54.897941+00
60,Wangwangri_avoidance,"The Day of Emptiness (往亡日) is inauspicious for taking up a new official position, marriage, moving to a new house, starting construction work, concluding marriage contracts, or signing contracts. Using this day for such matters may lead to illness among elderly family members, legal difficulties, injuries to small children, or death in the family. Adverse effects may be felt for 60–120 days.",classical,https://fourpillars.ru/articles/141,high,"[""day_selection"",""Dong_Gong"",""avoidance"",""calendar""]",ru,2026-03-19 18:36:13.110438+00
61,Wangwangri_calculation,"Days of Emptiness (往亡日) are fixed to specific days within each month according to a yearly table. The calculation appears to relate to matching the 'Triangle' combinations (Combinations of Three) of Earthly Branches with seasons, specifically pairing Fire Triangle months with Wood season days, Wood Triangle months with Fire season days, Water Triangle months with Metal season days, and Metal Triangle months with Water season days.",classical,https://fourpillars.ru/articles/141,medium,"[""calendar"",""earthly_branch"",""season"",""triangle_combination""]",ru,2026-03-19 18:36:13.110438+00
62,Kongwang_concept,"空亡 (Kōng wáng) is a separate metaphysical concept involving two Earthly Branches that remain outside the decade pairs of Heavenly Stem and Earthly Branch. It is distinct from 往亡 (Wǎng wáng) in both name and calculation system, though the names are similar.",classical,https://fourpillars.ru/articles/141,high,"[""stem_branch"",""decade"",""metaphysics""]",ru,2026-03-19 18:36:13.110438+00
63,Dong_Gong_date_selection_method,"Date selection is based on the interaction between each of the 12 Day Rulers (Upright Officers) and the Earthly Branch of the month in which the day occurs, combined with the influence of astrological stars present on that day.",classical,https://fourpillars.ru/articles/140,high,"[""date_selection"",""Day_Ruler"",""earthly_branch"",""astrological_star""]",ru,2026-03-19 18:36:42.612375+00
64,Geng_Wu_day_in_Si_month,"For the Geng Wu day in the Si (Snake) month, it is governed by the Yellow Sand star but supported by the positive energy of the Monthly Virtue star. This makes it suitable for important events or beginnings such as repair/renovation, marriage, opening a business, travel, starting new academic studies, and moving to a new house. Using this day brings increased wealth/assets within 60-120 days and family expansion through noble children.",classical,https://fourpillars.ru/articles/140,high,"[""Geng"",""Wu"",""Si"",""Yellow_Sand"",""Monthly_Virtue""]",ru,2026-03-19 18:36:42.612375+00
65,Jia_Wu_Ren_Wu_days_in_Si_month,"For Jia Wu and Ren Wu days in the Si (Snake) month, they are similarly strengthened by positive energies from favorable stars: Yellow Spiral, Purple Sandalwood, Heavenly Emperor star, and Earthly Emperor star. This makes them suitable for the same activities as Geng Wu days.",classical,https://fourpillars.ru/articles/140,high,"[""Jia"",""Ren"",""Wu"",""Si"",""Yellow_Spiral"",""Purple_Sandalwood"",""Heavenly_Emperor"",""Earthly_Emperor""]",ru,2026-03-19 18:36:42.612375+00
66,Bing_Wu_Wu_Wu_days_in_Si_month,"For Bing Wu and Wu Wu days in the Si (Snake) month, they are accompanied by the negative star 'Drilling Heaven and Earth Sha', making them unsuitable for any activity or new beginnings.",classical,https://fourpillars.ru/articles/140,high,"[""Bing"",""Wu"",""Si"",""Drilling_Heaven_Earth_Sha""]",ru,2026-03-19 18:36:42.612375+00
67,Jia_Shen_Bing_Shen_Wu_Shen_days_in_Wu_month,"For Jia Shen, Bing Shen, and Wu Shen days in the Wu (Horse) month, they contain positive stars Heavenly Fortune and Heavenly Joy, making them favorable. They are considered 'secondary' auspicious days suitable for funerals, marriage, moving residence, opening business, and travel. However, they are not suitable for laying foundations.",classical,https://fourpillars.ru/articles/140,high,"[""Jia"",""Bing"",""Wu"",""Shen"",""Wu_month"",""Heavenly_Fortune"",""Heavenly_Joy""]",ru,2026-03-19 18:36:42.612375+00
68,Geng_Shen_day_in_Wu_month,"For Geng Shen day in the Wu (Horse) month, it is only suitable for burial and should not be used for repair or moving to a new house.",classical,https://fourpillars.ru/articles/140,high,"[""Geng"",""Shen"",""Wu_month""]",ru,2026-03-19 18:36:42.612375+00
69,Si_Fei_Day,"Days of Lost Time (四废日) are specific days in each season when the corresponding element's energy is extremely weak, making them inauspicious for important matters. They are divided into two sets: Four Losses (四废) and Four True Days of Lost Time (正四废).",classical,https://fourpillars.ru/articles/139,high,"[""seasonal"",""inauspicious_day"",""element_weakness""]",ru,2026-03-19 18:37:08.172264+00
70,Spring_Si_Fei,"Spring Days of Lost Time are Geng Shen (庚申) and Xin You (辛酉). In spring, Wood dominates and Metal is inactive/lost. These Metal element days have exceptionally weak energy during this season.",classical,https://fourpillars.ru/articles/139,high,"[""spring"",""Metal"",""Geng_Shen"",""Xin_You""]",ru,2026-03-19 18:37:08.172264+00
71,Summer_Si_Fei,"Summer Days of Lost Time are Ren Zi (壬子) and Gui Hai (癸亥). In summer, Fire dominates and Water is inactive. These Water element days have very low energy during this season.",classical,https://fourpillars.ru/articles/139,high,"[""summer"",""Water"",""Ren_Zi"",""Gui_Hai""]",ru,2026-03-19 18:37:08.172264+00
